AgentRefID,max_amount_transaction,min_amount_transaction,avg_amount_transaction,median_amount_transaction,total_amount_transaction_credit,total_unique_distributer,avg_amout_payment_gt100_permonth,avg_txn_first_week,avg_last_month_1week_amount_txn,vintage,total_ticket_raised_last_2_month,avg_ticked_rasied_per_month,Churn,Total_Score
1,100.0,1.0,11.714285714285715,2.0,8.0,1,100.0,1.3333333333333333,0.0,156.0,0.0,0.0,0.0,10
55,25000.0,1.0,7000.0,4999.0,43.0,1,11878.973459289251,5923.153846153847,0.0,56.0,0.0,0.0,1.0,7
83,25000.0,1.0,2254.88287734399,1950.0,930.0,1,2784.0384278764564,2140.512927439533,0.0,203.0,0.0,1.0,0.0,3
180,25000.0,1.0,3157.2396166134185,2000.0,22.0,1,2946.772422498424,3118.101190476191,23500.0,202.0,0.0,2.333333333333333,0.0,4
29,25000.0,1.0,2243.3190984578887,2000.0,164.0,1,2754.3297944517394,2148.735,68861.0,203.0,0.0,1.0,0.0,3
14,49999.0,1.0,2818.167887875948,2000.0,3000.0,1,3491.529944637002,2836.0946886446886,2083318.0,203.0,2.0,1.5,0.0,3
26,11000.0,1.0,1436.0296610169491,1000.0,44.0,1,1838.41574682375,1632.34,33402.0,202.0,1.0,1.0,0.0,5
32,25000.0,1.0,2221.6786197564275,2000.0,406.0,1,3112.877668479649,2479.865934065934,0.0,161.0,0.0,1.6666666666666667,1.0,5
34,10000.0,1.0,2190.5812203500736,2000.0,1346.0,1,2793.659187147422,2167.4552948636647,493030.0,203.0,4.0,2.6666666666666665,0.0,3
35,5000.0,1.0,3820.4263959390864,4978.0,1.0,1,3817.103638466797,3492.949152542373,0.0,203.0,0.0,2.0,0.0,5
46,45000.0,1.0,2689.1797575118608,2000.0,869.0,1,3478.477654602829,2809.581493165089,413274.0,201.0,0.0,0.0,0.0,4
50,25000.0,1.0,2561.070877531341,2000.0,547.0,1,3458.4015845681643,2532.8665710186515,210207.0,194.0,0.0,0.0,0.0,5
87,48400.0,1.0,2401.300931490385,1965.0,1718.0,1,3242.915542473069,2299.420757363254,537863.0,203.0,1.0,1.6666666666666667,0.0,3
133,49999.0,1.0,4289.284820920978,4000.0,60.0,1,4433.315032908216,4178.406852248394,276200.0,203.0,0.0,1.0,0.0,3
163,30000.0,1.0,2107.2073310423825,1500.0,577.0,1,3055.689436660185,2143.9416498993965,42110.0,191.0,0.0,1.0,1.0,5
233,25000.0,1.0,3024.103221083455,2025.0,371.0,1,4238.19853086166,3081.673796791444,0.0,115.0,0.0,1.0,0.0,6
623,10000.0,1.0,1968.9622002085505,1500.0,1008.0,1,2692.9399744788216,1940.5627157652475,270420.0,203.0,0.0,3.0,0.0,3
704,25000.0,1.0,2385.7191011235955,2000.0,167.0,1,3358.0364105798326,2234.2977528089887,44984.0,203.0,0.0,1.0,0.0,3
738,15000.0,1.0,1942.139059304704,1500.0,128.0,1,2659.9453812895717,1947.6962962962964,25600.0,203.0,0.0,0.0,0.0,4
25,25000.0,1.0,2339.8895648104817,2000.0,454.0,1,3259.3176342444285,2355.822966507177,9960.0,200.0,0.0,1.3333333333333333,0.0,4
39,25000.0,1.0,2598.9485264432783,2000.0,785.0,1,2739.642851058044,2531.796314258002,504.0,198.0,0.0,1.5,0.0,4
3115,49999.0,1.0,2169.4451954158094,2000.0,971.0,1,3038.4170638686915,2117.563235294117,120860.0,203.0,0.0,0.0,0.0,3
3801,14000.0,1.0,2013.7725052337757,1500.0,377.0,1,2695.171227507128,2147.110671936759,19801.0,150.0,0.0,2.0,1.0,5
91,20000.0,1.0,1958.608695652174,1001.0,79.0,1,3051.0286758563075,2108.438596491228,31406.0,203.0,0.0,0.0,0.0,5
358,20000.0,1.0,2504.1776649746193,2000.0,60.0,1,2054.1838235294117,2368.435897435897,0.0,33.0,0.0,0.0,1.0,8
2150,5000.0,1.0,2128.057142857143,1500.0,2.0,1,2300.0992063492067,2618.181818181818,0.0,70.0,0.0,0.0,1.0,10
3,49999.0,1.0,2434.527885862516,2000.0,165.0,1,3047.5192697170073,2189.75,62909.0,203.0,0.0,2.0,0.0,3
283,25000.0,1.0,2840.259488084731,2000.0,94.0,1,4075.588826598379,2594.080597014925,201403.0,203.0,0.0,0.0,0.0,3
470,10000.0,1.0,2004.2871376811593,1500.0,127.0,1,2588.69313506156,1940.1103448275865,198176.0,195.0,0.0,0.0,0.0,4
491,10000.0,1.0,2388.43896713615,2000.0,192.0,1,3164.252135531239,2277.7175141242933,25501.0,202.0,0.0,0.0,0.0,4
685,30000.0,1.0,2665.2635081181797,2000.0,1126.0,1,3749.3032239883446,2802.373033707865,310052.0,203.0,1.0,1.0,0.0,3
3781,7000.0,1.0,2635.7272727272725,2000.0,44.0,1,3460.7166170001424,2536.4190476190474,193721.0,43.0,0.0,0.0,1.0,7
16,16000.0,1.0,1962.7270777479891,1400.0,571.0,1,2852.5595350581957,1731.4459102902374,2.0,201.0,0.0,1.0,0.0,4
473,25000.0,1.0,2169.424963924964,1500.0,306.0,1,2962.628810827735,2132.816326530612,0.0,182.0,0.0,1.0,1.0,5
1859,10000.0,1.0,3226.426150121065,4500.0,69.0,1,3801.1815327433555,3214.9347826086955,4856.0,188.0,0.0,0.0,1.0,6
3607,5000.0,1.0,2543.316742081448,2000.0,25.0,1,2948.858994708995,2514.9848484848485,31365.0,181.0,0.0,0.0,0.0,6
216,5000.0,1.0,2614.086720867209,2489.5,186.0,1,3406.329818839929,2653.263157894737,0.0,113.0,0.0,0.0,1.0,6
21,25000.0,1.0,1839.586705202312,1000.0,207.0,1,2853.919516677871,1744.25,47116.0,203.0,0.0,1.6666666666666667,0.0,3
120,49900.0,1.0,2563.076147816349,2000.0,1028.0,1,3282.95950497914,2441.629244629245,156305.0,203.0,0.0,0.0,0.0,3
574,5000.0,1.0,2343.2888349514565,2000.0,141.0,1,3355.526018426019,2172.617283950617,0.0,121.0,0.0,0.0,1.0,8
878,5000.0,1.0,2212.0907424381303,1999.0,318.0,1,3088.812569972761,2129.1338582677167,77800.0,204.0,0.0,0.0,0.0,3
2586,5000.0,1.0,2029.1967213114756,1325.0,152.0,2,2924.443995436473,2161.637037037037,77311.0,168.0,5.0,2.6666666666666665,0.0,4
4,22000.0,1.0,3049.4851138353765,3000.0,25.0,1,3199.1913977646404,3172.1007751937987,78120.0,203.0,0.0,1.6666666666666667,0.0,3
5,45000.0,1.0,2919.947072072072,2500.0,671.0,1,3925.5618347876234,3093.5436893203882,121443.0,203.0,0.0,0.0,0.0,3
6,5000.0,1.0,2043.5384615384612,1500.0,118.0,1,3055.6284565108085,1906.5612244897961,12002.0,194.0,0.0,0.0,0.0,6
