AgentRefID,total_payment,total_successfull_payments,total_failed_payments,total_amount_transaction,max_amount_transaction,min_amount_transaction,avg_amount_transaction,median_amount_transaction,total_amount_transaction_gt100,total_count_transaction_gt100,total_amount_transaction_gt1000,total_count_transaction_gt1000,total_amount_transcation_debit,total_amount_transaction_credit,total_unique_payee,total_unique_distributer,avg_count_payment_permonth,avg_count_payment_gt100_permonth,avg_amount_payment_permonth,avg_amout_payment_gt100_permonth,avg_last_month_amount_txn,avg_txn_first_week,avg_last_month_1week_amount_txn,last_month_amount_gt100,vintage,recency,total_ticket_raised,total_ticket_raised_last_2_month,avg_ticked_rasied_per_month,Churn
1,22,21,1,246.0,100.0,1.0,11.714285714285714,2.0,0.0,0,0.0,0,238.0,8.0,8,1,4.0,2.0,8.988888888888889,100.0,0.0,1.3333333333333333,0.0,0.0,156.0,33.0,0.0,0.0,0.0,0.0
55,132,128,4,1074317.0,25000.0,1.0,8393.1015625,4999.0,1074274.0,85,1069574.0,79,1074274.0,43.0,52,1,56.0,28.333333333333332,7712.888650897126,11878.97345928925,0.0,5923.153846153846,0.0,0.0,56.0,138.0,0.0,0.0,0.0,1.0
83,3361,3253,108,7335134.0,25000.0,1.0,2254.88287734399,1950.0,7333954.0,2320,6879216.0,1797,7334204.0,930.0,1573,1,133.5,387.0,1848.8487261991595,2784.0384278764564,16004.0,2140.512927439533,0.0,16000.0,203.0,1.0,1.0,0.0,1.0,0.0
180,1965,1878,87,5929296.0,25000.0,1.0,3157.2396166134185,2000.0,5929067.0,1847,5508229.0,1372,5929274.0,22.0,883,1,297.0,264.14285714285717,2917.410086176463,2946.772422498424,33000.0,3118.1011904761904,23500.0,33000.0,202.0,2.0,7.0,0.0,2.3333333333333335,0.0
29,901,843,58,1891118.0,25000.0,1.0,2243.3190984578887,2000.0,1890853.0,677,1799222.0,551,1890954.0,164.0,446,1,133.0,96.85714285714286,2235.0558443772247,2754.3297944517394,178070.0,2148.735,68861.0,178058.0,203.0,1.0,2.0,0.0,1.0,0.0
14,24518,23474,1044,66153673.0,49999.0,1.0,2818.167887875948,2000.0,66147923.0,19021,62490849.0,14916,66149340.0,4333.0,7155,1,3437.0,2718.714285714286,2840.8048319749787,3491.529944637002,6979057.0,2836.0946886446886,2083318.0,6978680.0,203.0,1.0,3.0,2.0,1.5,0.0
26,248,236,12,338903.0,11000.0,1.0,1436.0296610169491,1000.0,338459.0,186,262839.0,89,338859.0,44.0,113,1,22.0,26.857142857142858,1406.707002354371,1838.41574682375,73697.0,1632.34,33402.0,73690.0,202.0,1.0,1.0,1.0,1.0,0.0
32,1546,1478,68,3283641.0,25000.0,1.0,2221.6786197564275,2000.0,3283135.0,1071,3082094.0,841,3283235.0,406.0,580,1,232.0,178.66666666666666,2269.6996888245453,3112.877668479649,0.0,2479.865934065934,0.0,0.0,161.0,43.0,5.0,0.0,1.6666666666666667,1.0
34,6458,6113,345,13391023.0,10000.0,1.0,2190.5812203500736,2000.0,13388569.0,4748,12310466.0,3514,13389677.0,1346.0,1771,1,888.0,679.8571428571429,2182.361279690329,2793.659187147422,1560122.0,2167.455294863665,493030.0,1559980.0,203.0,1.0,8.0,4.0,2.6666666666666665,0.0
35,209,197,12,752624.0,5000.0,1.0,3820.4263959390864,4978.0,752623.0,196,736186.0,178,752623.0,1.0,108,1,28.0,28.0,3801.296608988339,3817.103638466797,50150.0,3492.9491525423728,0.0,50150.0,203.0,1.0,2.0,0.0,2.0,0.0
46,3983,3794,189,10202748.0,45000.0,1.0,2689.1797575118608,2000.0,10201574.0,2917,9711124.0,2367,10201879.0,869.0,1372,1,563.0,417.14285714285717,2686.1322742311354,3478.4776546028293,805763.0,2809.5814931650893,413274.0,805700.0,201.0,3.0,0.0,0.0,0.0,0.0
50,2270,2074,196,5311661.0,25000.0,1.0,2561.0708775313406,2000.0,5311014.0,1526,5018449.0,1202,5311114.0,547.0,842,1,248.0,218.14285714285714,2560.9424755893733,3458.401584568164,240200.0,2532.8665710186515,210207.0,240170.0,194.0,10.0,0.0,0.0,0.0,0.0
87,7104,6656,448,15983059.0,48400.0,1.0,2401.3009314903848,1965.0,15981040.0,4934,14900002.0,3692,15981341.0,1718.0,2246,1,907.0,705.2857142857143,2404.6035570970625,3242.9155424730693,2057016.0,2299.420757363254,537863.0,2056797.0,203.0,1.0,5.0,1.0,1.6666666666666667,0.0
133,1814,1759,55,7544852.0,49999.0,1.0,4289.284820920978,4000.0,7544579.0,1694,7366779.0,1506,7544792.0,60.0,978,1,263.0,242.28571428571428,4282.29885054561,4433.3150329082155,697556.0,4178.406852248394,276200.0,697550.0,203.0,1.0,1.0,0.0,1.0,0.0
163,1893,1746,147,3679184.0,30000.0,1.0,2107.2073310423825,1500.0,3678407.0,1167,3474053.0,918,3678607.0,577.0,799,1,233.0,167.0,2065.7168340480007,3055.689436660185,89944.0,2143.9416498993965,42110.0,89925.0,191.0,13.0,1.0,0.0,1.0,1.0
233,1453,1366,87,4130925.0,25000.0,1.0,3024.1032210834555,2025.0,4130354.0,993,4010489.0,849,4130554.0,371.0,645,1,245.5,248.75,3193.486577214598,4238.198530861661,0.0,3081.6737967914437,0.0,0.0,115.0,89.0,1.0,0.0,1.0,0.0
623,4040,3836,204,7552939.0,10000.0,1.0,1968.9622002085505,1500.0,7551427.0,2819,6866007.0,2045,7551931.0,1008.0,1287,1,600.0,403.42857142857144,1979.0517483797937,2692.9399744788216,962004.0,1940.5627157652475,270420.0,961900.0,203.0,1.0,3.0,0.0,3.0,0.0
